zip,actualAmountPaid,numberOfProperties,numberOfFinalProperties,costSharePercentage,projectAmount,benefitCostRatio,netValueBenefits,propertyAction,damageCategory,structureType,cluster_label
1904,172868.0,1,12,0.75,2172265.0,3.182,7001148.0,Acquisition/Demolition,0 - 49%,Single Family,28
2045,137364.0,1,1,0.75,192312.0,4.72,1500090.0,Elevation,50 - 99%,Single Family,12
2066,35500.0,2,28,0.45,547533.0,1.096,600000.0,Elevation,0 - 49%,Single Family,24
2346,200000.0,2,12,0.75,518859.0,2.7920000000000003,1448502.0,Acquisition of Vacant Land,50 - 99%,Single Family,3
2351,35000.0,1,11,0.75,1316666.0,1.16,2168607.0,Elevation,0 - 49%,Single Family,3
2460,1160000.0,3,4,0.7066666666666667,782686.3333333334,3.499333333333334,3711554.6666666665,Acquisition/Relocation,0 - 49%,Non-residential - Public,19
2532,94000.0,1,4,0.75,634081.0,2.27,334441.0,Acquisition/Demolition,0 - 49%,Single Family,19
2657,94687.0,1,1,0.75,94687.0,1.01,727433.0,Wind Retrofit,50 - 99%,Non-residential - Public,24
2864,109252.0,1,1,0.75,173762.0,1.097,324871.0,Acquisition/Demolition,50 - 99%,Single Family,3
2879,219621.0,1,1,0.75,292828.0,1.089,603232.0,Other (Specify in Comments),50 - 99%,Non-residential - Public,24
2893,202700.0,1,1,0.75,254610.0,1.021,260025.0,Acquisition/Demolition,0 - 49%,Non-residential - Private,19
3275,165800.0,6,36,0.75,370571.0,0.0,0.0,Acquisition/Demolition,50 - 99%,Manufactured Home,19
3431,397783.0,1,1,0.75,397783.0,1.7970000000000002,721595.0,Acquisition/Demolition,0 - 49%,Non-residential - Private,24
3465,75000.0,1,1,0.75,114205.0,2.616,392333.0,Acquisition/Demolition,0 - 49%,Single Family,14
3818,55689.0,2,20,0.75,467162.0,0.0,0.0,Acquisition/Demolition,50 - 99%,Single Family,24
3826,320956.0,4,16,0.75,366484.0,1.7950000000000002,657819.0,Acquisition/Demolition,50 - 99%,Single Family,3
4221,70000.0,1,4,0.75,182525.0,1.0,136894.0,Acquisition/Demolition,0 - 49%,Single Family,22
4345,93710.0,2,12,0.75,94391.0,1.073,235973.0,Elevation,0 - 49%,Single Family,5
4574,235439.0,5,45,0.75,536716.0,0.9879999999999999,633312.0,Elevation,0 - 49%,Single Family,5
4743,146700.0,1,1,0.75,283788.0,1.132,322739.0,Acquisition/Demolition,0 - 49%,Non-residential - Public,24
4756,110500.0,1,1,0.75,192477.0,0.0,0.0,Acquisition/Demolition,50 - 99%,Single Family,23
4785,47600.0,1,6,0.75,371405.0,0.0,0.0,Acquisition/Demolition,50 - 99%,Single Family,24
4901,526354.0,5,35,0.75,697132.0,2.072,1409702.0,Acquisition/Demolition,0 - 49%,Single Family,10
5053,34045.0,1,1,0.75,54357.0,1.088,44440.0,Acquisition/Demolition,50 - 99%,Single Family,24
5488,90671.0,1,1,0.75,120895.0,1.116,168000.0,Acquisition/Demolition,0 - 49%,Single Family,1
5651,355146.0,4,36,0.75,817932.0,1.011,835031.0,Acquisition/Relocation,50 - 99%,Single Family,1
5654,103743.0,2,18,0.75,817932.0,1.011,835031.0,Acquisition/Demolition,50 - 99%,Single Family,1
5655,576851.0,10,130,0.75,966590.0,1.124,209041.0,Acquisition/Demolition,50 - 99%,Single Family,1
5656,55655.0,1,2,0.75,171255.0,1.08,87903.0,Acquisition/Demolition,50 - 99%,Single Family,24
5657,171625.0,3,17,0.75,468655.3333333333,1.1463333333333334,380131.0,Acquisition/Demolition,100%,Single Family,24
5658,19250.0,1,9,0.75,817932.0,1.011,835031.0,Acquisition/Demolition,50 - 99%,Single Family,24
5819,78099.0,1,1,0.75,104134.0,0.0,0.0,Acquisition/Demolition,50 - 99%,Single Family,24
5832,425000.0,1,1,0.75,3066667.0,0.0,0.0,Acquisition/Demolition,0 - 49%,Non-residential - Private,24
5843,70209.0,1,1,0.75,93612.0,1.454,143069.0,Acquisition/Demolition,0 - 49%,Single Family,24
5851,37058.0,1,1,0.75,55675.0,0.997,55519.0,Acquisition/Demolition,50 - 99%,Single Family,24
6062,2386519.0,13,169,0.75,2693181.0,3.284,9674453.0,Acquisition/Demolition,0 - 49%,Single Family,3
6460,80004.0,1,1,0.65,123340.0,0.0,0.0,Elevation,0 - 49%,Single Family,19
6824,100000.0,1,1,0.4,252355.75,0.0,0.0,Elevation,0 - 49%,Single Family,24
7004,402563.0,3,9,0.75,166700.0,4.035,683364.0,Elevation,0 - 49%,Single Family,24
7006,125000.0,1,4,0.75,1478831.0,1.472,67541.0,Elevation,0 - 49%,Single Family,3
7016,3800189.0,13,260,0.75,3800189.0,1.046,4369111.0,Elevation,0 - 49%,Single Family,19
7033,185678.0,3,15,0.75,217161.0,1.3210000000000002,59599.0,Elevation,0 - 49%,Single Family,25
7035,2905009.0,12,300,0.75,3181999.0,1.838,12587491.0,Acquisition/Demolition,0 - 49%,Single Family,19
7039,17472.0,1,65,0.75,4114842.0,0.0,0.0,Acquisition/Demolition,50 - 99%,Single Family,3
7042,217905.0,2,35,0.75,2234118.5,1.1125,154335.0,Elevation,0 - 49%,Single Family,3
7043,212157.0,1,25,0.75,4011750.0,1.147,114670.0,Elevation,0 - 49%,Single Family,25
7045,1819358.0,16,256,0.75,2229747.8666666667,1.3831333333333333,121896.33333333333,Elevation,0 - 49%,Single Family,3
7046,2033507.0,14,310,0.75,3738268.230769231,1.1416923076923078,120772.30769230769,Elevation,0 - 49%,Single Family,19
7047,266527.0,1,25,0.75,4011750.0,1.147,114670.0,Elevation,0 - 49%,Single Family,3
7054,5787316.0,39,1870,0.75,7492621.0,1.96,23391264.0,Elevation,50 - 99%,Single Family,3
7058,246350.0,2,4,0.75,252475.0,1.102,184420.0,Acquisition/Demolition,0 - 49%,Single Family,3
7071,115625.0,1,9,0.75,3847403.0,2.1060000000000003,155025.0,Elevation,0 - 49%,Single Family,3
7072,241898.0,4,40,0.75,456487.0,1.078,194000.0,Acquisition/Demolition,0 - 49%,Single Family,19
7073,118850.0,2,18,0.75,607087.0,1.4460000000000002,76356.0,Acquisition/Demolition,0 - 49%,Single Family,19
7075,130864.0,2,20,0.75,456487.0,1.078,194000.0,Acquisition/Demolition,0 - 49%,Single Family,25
7076,518713.0,6,36,0.75,607087.0,1.4460000000000002,76356.0,Acquisition/Demolition,50 - 99%,Single Family,19
7077,202138.0,2,18,0.75,2227245.0,1.7760000000000002,115690.5,Elevation,0 - 49%,Single Family,19
7078,1.0,1,10,0.75,456487.0,1.078,194000.0,Elevation,0 - 49%,Single Family,3
7080,270250.0,2,18,0.75,3847403.0,2.1060000000000003,155025.0,Elevation,0 - 49%,Single Family,3
7081,542219.0,6,46,0.75,3226169.1666666665,2.0050000000000003,159180.16666666666,Elevation,0 - 49%,Single Family,3
7424,2761250.0,11,143,0.75,2798275.0,1.01,3964642.0,Acquisition/Demolition,50 - 99%,Single Family,19
7436,98000.0,1,1,0.75,131000.0,2.018,264313.0,Elevation,50 - 99%,Single Family,19
7440,1203186.0,8,112,0.75,1777101.0,1.58,8106882.0,Acquisition/Demolition,0 - 49%,Single Family,19
7442,2185527.0,9,80,0.75,2656852.0,2.19,6561788.0,Acquisition/Demolition,0 - 49%,Single Family,19
7470,8014596.0,51,2376,0.75,5287741.411764706,1.741470588235294,13807913.11764706,Acquisition/Demolition,50 - 99%,Single Family,19
7522,1447671.0,12,204,0.75,2893863.0,1.955,4692000.0,Acquisition/Demolition,50 - 99%,Single Family,9
7646,1198772.0,5,25,0.75,1612301.0,1.0,1611527.0,Acquisition/Demolition,50 - 99%,Single Family,3
7675,1440678.0,5,25,0.75,2068057.0,0.0,0.0,Acquisition/Demolition,50 - 99%,Single Family,19
7703,394.0,1,132,0.75,3794340.0,0.0,0.0,Acquisition/Demolition,50 - 99%,Single Family,6
7717,30000.0,1,2,0.47,81629.0,2.444,199500.0,Elevation,0 - 49%,Single Family,9
7728,1544701.0,5,18,0.75,1033994.4,0.0,0.0,Acquisition/Demolition,50 - 99%,Single Family,25
7732,39375.0,2,4,0.75,52500.0,2.202,2307837.0,Elevation,50 - 99%,Single Family,6
7834,1705418.0,6,54,0.75,1746469.0,1.275,3429556.0,Acquisition/Demolition,50 - 99%,Single Family,19
8048,616486.0,3,12,0.75,640250.0,1.3210000000000002,846087.0,Elevation,50 - 99%,Single Family,3
8202,30000.0,1,1,0.33,90129.0,0.0,0.0,Elevation,0 - 49%,Single Family,6
8835,2254785.0,12,168,0.75,3792298.0,1.159,3889055.0,Acquisition/Demolition,0 - 49%,Single Family,19
8846,653125.0,3,36,0.75,3220740.0,1.215,3716340.6666666665,Acquisition/Demolition,0 - 49%,Single Family,19
8865,559479.0,3,9,0.75,770000.0,1.159,665713.0,Acquisition/Demolition,100%,Single Family,19
