cluster_label,actualAmountPaid,numberOfFinalProperties,costSharePercentage,projectAmount,benefitCostRatio,netValueBenefits
0,110094.64186851212,479.4648212226067,0.8151326412918075,8777553.650807392,2.3867693194925184,57713127.71107266
1,118337.85778443114,255.01571856287424,0.7072380239520962,2857961.2652619705,2.545663922155711,4038587.1796407187
2,100000.0,1.0,0.75,18087966.0,1.064,72529.0
3,127003.43895348837,26.523255813953487,0.7495639534883721,2828175.44011628,1.3163837209302336,1364013.3197674418
4,89486.5033557047,52.76510067114094,0.7432885906040269,2058853.0805369127,0.9003758389261747,503019.1677852349
5,55485.24422735346,508.8019538188277,0.6257992895204272,3090662.9068206158,7.181652753108335,7464370.645648313
6,594636.0808366309,1373.5805539853025,0.7907292255511611,4376120.844409277,1.7219966082532563,2628465.4635387226
7,85272.55837563451,404.01015228426394,0.7550761421319797,3473784.045685279,5.881690355329954,25829919.482233502
8,251058.37085181221,3624.6023856858847,0.7406224193301711,28844630.1023031,2.309556660039875,171616871.27205995
9,573904.0184899846,1793.8705701078582,0.8022804314329753,4978719.938412943,1.479130970724189,624502.155624037
10,142078.50227272726,308.57272727272726,0.7345909090909107,1899409.1964772737,3.985731818181823,6668204.881818182
11,777143.9139693356,1294.6456558773425,0.7291780238500849,3755123.2622487266,2.695128620102226,1104659.6375638843
12,42621.88633193864,389.26778242677824,0.6345885634588597,1867067.4297907976,31.119926080892625,6537818.878661088
13,77296.56923076924,884.825,0.6916538461538462,8201998.446173091,1.4022076923076898,35025252.69423077
14,445664.49968374445,308.5135989879823,0.7665211891208094,3309051.5251992405,1.067404807084126,2555545.3927893736
15,13089.57142857143,1279.2348668280872,0.5457869249394673,7471586.822372914,2.2945907990314813,872025.7772397094
16,57890.2368605466,413.8220042046251,0.757561317449194,3997158.670560616,1.250658724597058,3291288.6846531183
17,220438.5592760181,195.57285067873303,0.7460090497737559,3089274.739882354,1.6812108597285074,11744604.285067873
18,62707.60275339186,1428.518954509178,0.7814166001596236,17078658.414772533,2.1842932960894252,73783829.7555866
20,67606.0,79.56333333333333,0.7794333333333333,1368283.0772999998,2.215840000000002,1690951.1966666668
21,169560.45562130178,2076.138067061144,0.7935108481262331,5760883.450177513,2.271445759368839,2355248.962524655
22,76202.73518518519,878.5111111111111,0.6167962962962962,6527467.490296339,2.529250000000002,5832193.009259259
23,81775.03541666667,224.14895833333333,0.7289687499999999,2431378.6927500004,1.269746874999999,1725603.6135416667
24,96237.16666666667,847.6851851851852,0.7453703703703703,4402930.352777778,4.519037037037039,21904092.35185185
25,10172.07142857143,604.0,0.7385714285714285,1594755.2171428571,13.363285714285713,563518.8571428572
26,7029049.025210084,54.7436974789916,0.7490336134453782,2060196.8949579832,2.5683949579831937,13200979.029411765
27,116550.14025974026,232.47480519480519,0.7006337662337664,2736432.1499324683,2.893375584415589,2294286.04
28,187432.10248362445,3016.0147379912664,0.7488810043668136,25524876.38651201,2.1151593886464215,138641215.7360808
29,38500.927710843374,586.1626506024096,0.6780722891566268,3523745.3080120473,3.8074698795180666,18225786.825301204
