zip,cluster_label
36083,27
35441,20
35051,11
35121,23
35058,12
35619,11
35016,27
36115,22
36353,17
36728,29
35229,25
36027,27
35470,6
35173,27
35098,11
71653,9
81524,13
93308,10
20012,22
83811,20
4554,10
60034,27
21529,14
2671,23
4019,21
49854,13
56127,17
4766,12
39150,14
59870,11
59014,29
2461,1
88045,29
85264,29
86334,11
85501,9
85638,27
85726,2
72756,12
72950,9
71846,9
93592,21
93060,26
93960,7
93235,10
93622,21
90018,24
96057,3
93666,10
94952,26
94127,24
96034,3
93620,10
49934,18
28428,0
39465,6
65747,11
64112,8
39144,9
3076,1
97368,3
15316,0
19137,23
29440,9
69341,13
11550,5
78404,28
84753,9
5450,6
24171,6
23092,27
24622,6
44123,22
98382,26
73505,5
25425,28
97630,9
82225,29
35079,11
8073,25
87506,12
88301,4
87558,20
88042,4
88055,9
10171,2
10110,2
12758,9
10282,5
14212,28
11956,14
14788,0
10040,23
11501,5
14035,18
13617,27
13316,6
34287,0
33413,28
32421,17
30417,27
30816,11
30332,15
30705,21
31631,29
31038,29
30464,22
31018,12
30428,27
83553,9
61414,6
13102,18
27893,8
27295,12
28504,27
28787,23
27825,22
28611,9
28089,15
58205,25
43084,17
44493,14
44233,8
43203,5
44671,13
43330,8
1236,6
1003,8
48625,17
48233,2
48091,18
55029,25
56467,17
56639,4
56001,28
56313,25
39140,6
39759,11
38920,9
39170,6
39069,6
38945,9
39332,6
64093,12
90301,24
95545,26
80023,22
81227,20
80515,20
6412,23
6481,1
19716,25
34488,13
34202,18
47708,1
51243,17
30660,27
41073,28
70357,0
71254,6
42464,11
41083,6
40444,6
41035,12
40057,12
41612,20
40025,8
40313,14
40144,12
71360,17
71268,6
70575,18
71479,29
4039,11
4622,3
4354,11
4975,24
4920,3
20899,22
21717,16
64125,1
63653,10
64066,20
65556,21
65623,25
65612,27
59456,29
59054,4
59735,3
59834,9
68137,5
69333,29
68841,17
68304,13
3280,9
3753,11
7621,5
8740,0
16244,18
15422,28
18444,27
17576,18
15049,22
19102,1
18617,18
29108,12
29030,11
29483,10
29591,11
29117,25
29368,25
57422,16
57054,29
37066,23
38301,10
37174,1
60129,17
61839,6
61049,6
60144,22
60302,22
60472,28
47421,27
47916,25
47860,23
46961,15
47281,9
50230,29
50227,13
50551,16
50105,17
52033,16
50559,16
51230,17
67747,13
66621,25
67457,29
40372,11
99109,9
99166,9
98304,3
98830,11
26405,16
26554,6
25271,15
98638,3
24844,20
24845,0
24736,9
26250,14
54521,17
24847,20
54985,25
83116,23
26151,14
98305,3
24656,20
19731,0
46376,20
54896,4
33404,18
35548,11
36775,14
71651,14
53504,16
3101,23
21802,25
2141,23
61315,14
46987,8
48083,28
4490,21
80290,2
99124,23
5747,9
76483,11
88134,4
7702,5
17083,25
84629,11
19103,18
15015,28
17250,25
43970,0
43529,8
12307,15
36522,17
30165,6
85922,20
85620,5
84531,29
96120,26
82063,29
93643,21
96080,3
95458,26
74578,27
97624,3
97343,3
97148,21
16616,14
97123,10
97424,3
17756,16
97758,9
97494,3
19442,2
17887,0
15078,18
15737,0
15546,18
18428,27
18814,0
17041,28
85019,15
71665,9
71671,11
71998,25
72476,3
71837,6
71763,9
71858,9
93254,21
20520,2
20427,2
32714,28
32134,17
33498,28
31021,27
30521,12
31804,27
30252,12
39842,13
30474,12
95835,10
93203,7
95364,21
91203,26
95363,26
93665,24
90071,7
95724,7
80302,6
80746,25
81223,9
81243,29
80218,5
19977,8
20202,13
34681,0
32097,17
30513,23
31318,12
31780,13
30326,5
30293,13
83244,3
83544,9
83218,22
83467,3
62089,12
61243,16
62987,3
60171,8
60643,15
62865,21
61936,23
61039,27
47457,15
47337,8
46183,5
46068,27
47836,29
47683,10
47969,8
52060,6
51244,22
50603,16
52647,15
51036,16
66216,5
66728,11
67520,29
40380,9
42431,11
