zip,actualAmountPaid,numberOfProperties,numberOfFinalProperties,costSharePercentage,projectAmount,benefitCostRatio,netValueBenefits,propertyAction,damageCategory,structureType,cluster_label,count_property,pct_fs_risk_2020_5,pct_fs_risk_2050_5,pct_fs_risk_2020_100,pct_fs_risk_2050_100,pct_fs_risk_2020_500,pct_fs_risk_2050_500,total_population,pop_density,Log Flood Risk,Log Fire Risk,Quake Risk,Log Population Density
1904,172868.0,1,12,0.75,2172265.0,3.182,7001148.0,Acquisition/Demolition,0 - 49%,Single Family,28,6092,0.2,0.2,11.3,11.9,15.9,16.7,17294,1476.2540263219491,0.6554377408020882,-0.1267415713606546,0.9451525831004468,1.4645592982824516
2045,137364.0,1,1,0.75,192312.0,4.72,1500090.0,Elevation,50 - 99%,Single Family,12,4747,24.6,48.6,62.7,66.8,67.4,71.2,10455,1516.4098608557974,-4.292357532758737,-0.1918681897697772,0.9202365259842512,1.4755949047186592
2066,35500.0,2,28,0.45,547533.0,1.0959999999999999,600000.0,Elevation,0 - 49%,Single Family,24,7744,11.3,15.8,20.4,23.8,26.0,30.7,18239,415.59024638242346,-2.154715206208328,0.6446258004904741,0.932647582165374,0.943377925792368
2346,200000.0,2,12,0.75,518859.0,2.7920000000000003,1448502.0,Acquisition of Vacant Land,50 - 99%,Single Family,3,9097,0.8,1.0,6.1,6.3,8.9,9.3,24802,139.1102741984543,1.1180059649576004,0.6746679069956241,0.8704998566492891,0.4935174430435033
2351,35000.0,1,11,0.75,1316666.0,1.16,2168607.0,Elevation,0 - 49%,Single Family,3,5101,0.0,0.0,4.5,5.0,7.6,8.0,16436,656.2066988818535,2.556873027516207,0.6892052389697604,0.8957372102845329,1.1311789211204897
2460,1160000.0,3,4,0.7066666666666667,782686.3333333334,3.499333333333334,3711554.6666666665,Acquisition/Relocation,0 - 49%,Non-residential - Public,19,2439,0.7,0.8,15.0,16.4,23.9,25.9,9773,2807.6515903465975,-0.4537956986144441,-0.6055947032630878,0.9264370024016652,1.7288975676515317
2532,94000.0,1,4,0.75,634081.0,2.27,334441.0,Acquisition/Demolition,0 - 49%,Single Family,19,6342,2.8,8.7,9.1,13.3,20.3,27.1,13218,357.6048590757383,-0.9446220613818924,0.4663697540868557,0.8956644773261826,0.8815988588169924
2657,94687.0,1,1,0.75,94687.0,1.01,727433.0,Wind Retrofit,50 - 99%,Non-residential - Public,24,2362,23.8,33.4,35.4,40.8,42.0,52.8,2973,118.70055590828123,-3.408298532311399,-0.6153547287657213,1.094798229381322,0.4283222086160332
2864,109252.0,1,1,0.75,173762.0,1.097,324871.0,Acquisition/Demolition,50 - 99%,Single Family,3,14059,1.6,1.7,6.7,7.0,8.9,9.1,34797,508.54010364180886,0.7778778669958191,0.5044775107620207,0.8717019413154616,1.0263630601975555
2879,219621.0,1,1,0.75,292828.0,1.089,603232.0,Other (Specify in Comments),50 - 99%,Non-residential - Public,24,10202,8.0,9.1,14.3,15.9,18.4,22.3,20610,212.91986588837796,-1.3362980681048413,0.0022409757288060017,0.7868086528134195,0.668452081849186
2893,202700.0,1,1,0.75,254610.0,1.021,260025.0,Acquisition/Demolition,0 - 49%,Non-residential - Private,19,9907,3.4,3.6,11.6,12.3,14.8,15.5,29143,1435.838283115206,-0.4773684289719325,-0.07422333213693864,0.8299140697014701,1.453144928458443
3275,165800.0,6,36,0.75,370571.0,0.0,0.0,Acquisition/Demolition,50 - 99%,Manufactured Home,19,3732,5.0,5.5,10.3,10.6,12.6,12.9,11577,103.90425744576049,-0.4028849739541947,0.4886340708962019,0.9416979859029484,0.37362355599197605
3431,397783.0,1,1,0.75,397783.0,1.7970000000000002,721595.0,Acquisition/Demolition,0 - 49%,Non-residential - Private,24,7881,3.5,3.6,16.5,17.2,23.7,24.3,25148,163.54163177311378,-1.1705603187621163,0.05645705429034585,0.994903057113334,0.5600096133577392
3465,75000.0,1,1,0.75,114205.0,2.616,392333.0,Acquisition/Demolition,0 - 49%,Single Family,14,1095,5.8,6.0,9.7,10.0,11.5,11.6,2002,43.73292160600743,-0.3226733896477804,0.09176119871288994,1.0595825267936971,0.01830682829762965
3818,55689.0,2,20,0.75,467162.0,0.0,0.0,Acquisition/Demolition,50 - 99%,Single Family,24,2883,10.5,12.3,24.6,25.5,33.0,34.8,3845,17.37838576265012,-2.3440346955880718,0.10028565459382834,0.9609715970392886,-0.3597808060000831
3826,320956.0,4,16,0.75,366484.0,1.7950000000000002,657819.0,Acquisition/Demolition,50 - 99%,Single Family,3,742,0.4,0.4,5.1,5.3,5.9,6.2,2250,313.3733541283249,1.9375289441400232,0.4634278961738577,0.9649639212710812,0.8273198118693523
4221,70000.0,1,4,0.75,182525.0,1.0,136894.0,Acquisition/Demolition,0 - 49%,Single Family,22,1009,16.9,17.5,27.2,28.5,33.5,34.6,884,10.639007173627393,-2.631740934056067,0.3013892556648779,2.0580110457622087,-0.5600807697420916
4345,93710.0,2,12,0.75,94391.0,1.073,235973.0,Elevation,0 - 49%,Single Family,5,2480,6.2,6.5,9.4,9.8,12.4,12.8,11421,61.1608152440534,-0.40895326703496987,0.5389954641745518,3.4272161625401893,0.15596621753305812
4574,235439.0,5,45,0.75,536716.0,0.9879999999999999,633312.0,Elevation,0 - 49%,Single Family,5,1456,4.9,4.9,8.2,8.3,10.4,11.0,1447,14.740413925288392,-0.02098308873701844,0.5277154558984337,3.6015100437010004,-0.4270615303049506
4743,146700.0,1,1,0.75,283788.0,1.132,322739.0,Acquisition/Demolition,0 - 49%,Non-residential - Public,24,2754,8.7,9.3,19.6,20.8,30.7,31.8,4456,12.655919630456918,-1.9813137786194883,-0.2339705982463381,0.004884078112092031,-0.4893038529689617
4756,110500.0,1,1,0.75,192477.0,0.0,0.0,Acquisition/Demolition,50 - 99%,Single Family,23,2059,3.7,3.8,5.0,5.1,5.9,6.1,3214,69.6410109890005,1.0075944201563718,-0.2665318973784245,0.1144707049483578,0.20928063976585184
4785,47600.0,1,6,0.75,371405.0,0.0,0.0,Acquisition/Demolition,50 - 99%,Single Family,24,404,10.1,11.6,18.1,19.3,23.0,23.8,2187,8.282167156165974,-1.7539182508040456,0.07737214052708034,0.87398678031359,-0.6619722702870161
4901,526354.0,5,35,0.75,697132.0,2.072,1409702.0,Acquisition/Demolition,0 - 49%,Single Family,10,9188,2.6,2.9,8.5,8.8,10.5,10.9,26888,131.71833435249138,0.20383524586033305,0.6420216571027396,3.669930652618813,0.4710807184074839
5053,34045.0,1,1,0.75,54357.0,1.088,44440.0,Acquisition/Demolition,50 - 99%,Single Family,24,207,13.0,13.5,16.4,16.4,18.4,18.4,403,17.82063771351048,-1.5308310377568382,-0.5724804914244842,0.8820802198258032,-0.3495051507875513
5488,90671.0,1,1,0.75,120895.0,1.1159999999999999,168000.0,Acquisition/Demolition,0 - 49%,Single Family,1,3553,2.1,2.4,6.9,7.1,10.7,11.1,7752,46.183560529105605,0.4581192105639694,-0.3657982127942677,0.12122713005233735,0.040678098280916127
5651,355146.0,4,36,0.75,817932.0,1.011,835031.0,Acquisition/Relocation,50 - 99%,Single Family,1,711,3.7,3.5,8.3,8.9,11.5,12.0,1418,31.8674629966616,0.006370727365121466,-0.5734104587688784,0.6501421380680772,-0.11150284016602288
5654,103743.0,2,18,0.75,817932.0,1.011,835031.0,Acquisition/Demolition,50 - 99%,Single Family,1,379,2.1,1.8,8.4,8.7,10.0,10.0,1042,139.1582130055503,0.42764403804412393,-0.747689564116411,0.7262597929880208,0.4936590288186105
5655,576851.0,10,130,0.75,966590.0,1.1240000000000003,209041.0,Acquisition/Demolition,50 - 99%,Single Family,1,1308,4.5,4.5,7.3,7.6,9.7,9.9,2940,33.4490613971516,0.17922447545171544,-0.7867258540452551,0.4691617235365288,-0.09164471688983218
5656,55655.0,1,2,0.75,171255.0,1.08,87903.0,Acquisition/Demolition,50 - 99%,Single Family,24,1239,15.1,15.2,22.6,22.9,27.2,27.4,3606,29.820835083115906,-2.2105068665732777,-0.7246312728146874,0.4337051521986873,-0.13871087625395576
5657,171625.0,3,17,0.75,468655.3333333333,1.1463333333333334,380131.0,Acquisition/Demolition,100%,Single Family,24,96,10.4,10.4,17.7,17.7,29.2,30.2,60,165.0319336791669,-1.8928508790839889,,0.5078736836560529,0.5637377239844079
5658,19250.0,1,9,0.75,817932.0,1.011,835031.0,Acquisition/Demolition,50 - 99%,Single Family,24,770,12.9,13.0,20.8,21.0,24.3,24.5,1459,15.05404981695658,-1.9685124183861429,-0.4884782329647043,0.6362396427650531,-0.4184613227092263
5819,78099.0,1,1,0.75,104134.0,0.0,0.0,Acquisition/Demolition,50 - 99%,Single Family,24,4009,9.3,9.5,15.2,15.5,18.6,18.9,9144,38.834329831268704,-1.3303257234543615,-0.2484309459633629,0.6131465571887895,-0.030426832045445086
5832,425000.0,1,1,0.75,3066667.0,0.0,0.0,Acquisition/Demolition,0 - 49%,Non-residential - Private,24,700,10.4,10.9,14.1,14.9,16.6,16.9,902,11.86810389317096,-1.2432181717074695,-0.4687260993327637,0.5584667192686996,-0.5155195255847438
5843,70209.0,1,1,0.75,93612.0,1.454,143069.0,Acquisition/Demolition,0 - 49%,Single Family,24,1284,9.0,10.7,23.3,23.7,25.9,26.0,2462,26.293302062174497,-1.9923749649751672,-0.6064783708102335,0.5214999148820215,-0.19029678691064686
5851,37058.0,1,1,0.75,55675.0,0.997,55519.0,Acquisition/Demolition,50 - 99%,Single Family,24,2745,8.6,9.0,24.3,24.6,27.7,28.1,6329,30.635153373329484,-2.037001553734625,-0.4819569586053315,0.4611399339737312,-0.1276686904686093
6062,2386519.0,13,169,0.75,2693181.0,3.2839999999999994,9674453.0,Acquisition/Demolition,0 - 49%,Single Family,3,7279,0.8,0.8,7.9,8.7,11.6,12.1,17619,778.7751999680693,0.6950392272332914,0.4829340320674548,0.8233555502129091,1.2015897718008248
6460,80004.0,1,1,0.65,123340.0,0.0,0.0,Elevation,0 - 49%,Single Family,19,14051,5.6,7.2,18.3,23.3,23.4,30.6,38959,1198.2293799606614,-1.7058578104412219,0.13562080345091654,0.7542620942083414,1.378758582570162
6824,100000.0,1,1,0.4,252355.75,0.0,0.0,Elevation,0 - 49%,Single Family,24,11414,13.6,16.2,27.1,29.9,32.7,38.1,35349,677.8777977848474,-2.612897748452476,0.3951127109188157,0.7212567877301334,1.144538080702319
7004,402563.0,3,9,0.75,166700.0,4.035,683364.0,Elevation,0 - 49%,Single Family,24,3654,5.5,6.7,21.2,22.3,44.2,47.3,7390,281.61632987538457,-2.188962998564646,0.7783740541023481,0.421400158106508,0.7833954466949508
7006,125000.0,1,4,0.75,1478831.0,1.472,67541.0,Elevation,0 - 49%,Single Family,3,8201,0.5,0.7,7.0,7.3,9.4,9.7,25553,1052.1284282647323,1.1266893631269974,1.0882992654805157,0.2637514188073641,1.3252919880775296
