zip,cluster_label
36083,21
35441,24
35051,14
35121,14
35058,23
35619,14
35016,23
36115,25
36353,21
36728,21
35229,26
36027,21
35470,21
35173,19
35098,14
71653,1
81524,25
93308,10
20012,25
83811,20
4554,10
60034,8
21529,29
2671,24
4019,5
49854,0
56127,8
4766,23
39150,29
59870,14
59014,21
2461,19
88045,23
85264,21
86334,14
85501,20
85638,23
85726,26
72756,3
72950,20
71846,24
93592,10
93060,17
93960,17
93235,28
93622,5
90018,7
96057,22
93666,28
94952,17
94127,7
96034,20
93620,10
49934,18
28428,12
39465,21
65747,14
64112,16
39144,21
3076,19
97368,22
15316,12
19137,9
29440,20
69341,23
11550,25
78404,9
84753,20
5450,1
24171,21
23092,0
24622,21
44123,11
98382,17
73505,3
25425,18
97630,20
82225,21
35079,14
8073,26
87506,23
88301,4
87558,6
88042,4
88055,20
10171,26
10110,26
12758,24
10282,11
14212,19
11956,29
14788,6
10040,19
11501,25
14035,18
13617,23
13316,21
34287,12
33413,18
32421,0
30417,14
30816,14
30332,2
30705,14
31631,21
31038,23
30464,25
31018,23
30428,21
83553,20
61414,1
13102,29
27893,16
27295,3
28504,23
28787,24
27825,25
28611,24
28089,2
58205,26
43084,8
44493,29
44233,8
43203,11
44671,16
43330,3
1236,19
1003,3
48625,18
48233,26
48091,9
55029,26
56467,0
56639,4
56001,8
56313,26
39140,21
39759,19
38920,20
39170,21
39069,21
38945,20
39332,21
64093,23
90301,7
95545,17
80023,25
81227,6
80515,20
6412,24
6481,19
19716,26
34488,0
34202,18
47708,8
51243,8
30660,23
41073,9
70357,6
71254,1
42464,14
41083,1
40444,21
41035,11
40057,1
41612,6
40025,16
40313,29
40144,23
71360,21
71268,21
70575,18
71479,21
4039,14
4622,5
4354,14
4975,7
4920,22
20899,25
21717,18
64125,3
63653,28
64066,6
65556,14
65623,26
65612,23
59456,1
59054,4
59735,20
59834,20
68137,11
69333,4
68841,15
68304,8
3280,24
3753,1
7621,3
8740,12
16244,18
15422,9
18444,23
17576,18
15049,25
19102,9
18617,18
29108,3
29030,14
29483,10
29591,14
29117,26
29368,26
57422,4
57054,4
37066,19
38301,10
37174,19
60129,8
61839,1
61049,15
60144,11
60302,11
60472,9
47421,8
47916,26
47860,9
46961,2
47281,24
50230,15
50227,8
50551,15
50105,8
52033,15
50559,15
51230,15
67747,8
66621,26
67457,21
40372,1
99109,20
99166,20
98304,22
98830,14
26405,29
26554,18
25271,2
98638,22
24844,6
24845,6
24736,24
26250,29
54521,0
24847,6
54985,26
83116,24
26151,29
98305,22
24656,6
19731,6
46376,6
54896,4
33404,12
35548,14
36775,29
71651,20
53504,15
3101,9
21802,26
2141,9
61315,29
46987,16
48083,9
4490,5
80290,26
99124,19
5747,24
76483,14
88134,4
7702,3
17083,26
84629,14
19103,9
15015,16
17250,26
43970,6
43529,16
12307,2
36522,21
30165,21
85922,20
85620,25
84531,15
96120,17
82063,20
93643,10
96080,22
95458,17
74578,21
97624,20
97343,22
97148,5
16616,29
97123,28
97424,22
17756,29
97758,20
97494,22
19442,26
17887,6
15078,12
15737,12
15546,29
18428,23
18814,6
17041,16
85019,2
71665,24
71671,14
71998,26
72476,22
71837,21
71763,20
71858,20
93254,17
20520,26
20427,26
32714,16
32134,0
33498,18
31021,23
30521,23
31804,23
30252,3
39842,23
30474,23
95835,28
93203,10
95364,20
91203,27
95363,17
93665,7
90071,27
95724,10
80302,21
80746,26
81223,20
81243,14
80218,25
19977,23
20202,25
34681,12
32097,18
30513,14
31318,3
31780,23
30326,3
30293,23
83244,20
83544,20
83218,25
83467,20
62089,28
61243,15
62987,5
60171,11
60643,11
62865,5
61936,1
61039,8
47457,2
47337,3
46183,11
46068,8
47836,1
47683,28
47969,16
52060,15
51244,11
50603,15
52647,2
51036,15
66216,3
66728,1
67520,4
40380,24
42431,14
41260,6
40404,26
42210,1
42411,5
40049,26
70549,6
70582,15
95441,17
94574,17
90621,27
95485,17
93664,10
37338,21
37374,20
76597,26
37132,26
37246,26
75752,23
78076,0
79781,4
78653,25
77880,0
75779,15
78014,4
76305,21
75652,23
77575,18
76801,0
78058,4
76877,21
78881,0
75844,0
77954,4
78620,0
79731,23
76148,2
75929,23
75831,0
79081,23
76676,23
24153,24
84648,10
84751,14
5056,24
5079,24
5405,28
22514,0
24483,29
24013,16
22845,0
17885,29
98045,22
99203,3
26562,29
26763,29
15027,16
54143,18
97838,3
36766,21
35650,14
36784,21
35579,20
36268,14
86326,19
85924,4
29670,3
57346,4
37324,14
57236,4
37377,23
37315,25
37725,5
38029,13
38047,28
